tag,path,verb,summary,description,parameters,responses
1. Authentication & Security Domain,/api/v1/auth/register,POST,Register,Register a new user in the AI Ecosystem.,request_body (application/json),"201, 422"
1. Authentication & Security Domain,/api/v1/auth/login,POST,Login,Authenticate credentials and return a Stateless JWT Access Token.,request_body (application/json),"200, 422"
1. Authentication & Security Domain,/api/v1/auth/me,GET,Get Current User Profile,Retrieve current authenticated user profile.,None,200
2. Dataset Management Domain,/api/v1/datasets/upload,POST,Upload Dataset,Upload raw dataset file to MinIO Object Storage and store metadata in PostgreSQL.,request_body (application/json),"201, 422"
2. Dataset Management Domain,/api/v1/datasets/import-huggingface,POST,Import Hugging Face Dataset,Download Token Classification / NER dataset from Hugging Face and store in MinIO bucket 'datasets',"dataset_name (query, string, Optional)
split (query, string, Optional)","201, 422"
2. Dataset Management Domain,/api/v1/datasets,GET,List Datasets,List datasets with pagination.,"skip (query, integer, Optional)
limit (query, integer, Optional)","200, 422"
2. Dataset Management Domain,/api/v1/datasets/{dataset_id},GET,Get Dataset,Retrieve details for a specific dataset.,"dataset_id (path, integer, Required)","200, 422"
3. Model Registry Domain,/api/v1/models/upload,POST,Upload Model,Register a new model version (Append-Only Immutability Policy).,request_body (application/json),"201, 422"
3. Model Registry Domain,/api/v1/models,GET,List Models,Get audit history of all model versions.,"model_name (query, string, Optional)","200, 422"
3. Model Registry Domain,/api/v1/models/latest,GET,Get Latest Model,Get latest stable model version for inference.,"model_name (query, string, Optional)","200, 422"
3. Model Registry Domain,/api/v1/models/{model_id},GET,Get Model By Id,Get specific model record by ID.,"model_id (path, integer, Required)","200, 422"
4. Automated Async Training Domain,/api/v1/training/start,POST,Start Training,"Start heavy AI model training job asynchronously.
Returns HTTP 202 Accepted immediately with job_id. Task pushed to Redis Queue.",request_body (application/json),"202, 422"
4. Automated Async Training Domain,/api/v1/training/enqueue,POST,Enqueue Scheduled Training Task,Enqueue training task into Redis Sorted Set scheduled queue with a execution time delay,request_body (application/json),"202, 422"
4. Automated Async Training Domain,/api/v1/training/status/{job_id},GET,Get Training Status,Poll training progress and job execution status.,"job_id (path, string, Required)","200, 422"
4. Automated Async Training Domain,/api/v1/training/cancel/{job_id},POST,Cancel Training,Cancel a queued training job.,"job_id (path, string, Required)","200, 422"
5. Inference Domain,/api/v1/predict,POST,Predict Inference,Execute low-latency AI inference prediction.,request_body (application/json),"200, 422"
6. Label Studio Component Domain,/api/v1/ls/projects,GET,List Label Studio Projects,Fetch data annotation projects from Label Studio SDK,None,200
6. Label Studio Component Domain,/api/v1/ls/projects,POST,Create Annotation Project,Create a new Label Studio data labeling project,request_body (application/json),"201, 422"
6. Label Studio Component Domain,/api/v1/ls/tasks/import,POST,Import Dataset Tasks,Import raw dataset files/links into Label Studio project for labeling,"project_id (query, integer, Required)
request_body (application/json)","200, 422"
6. Label Studio Component Domain,/api/v1/ls/annotations/export,GET,Export Labeled Annotations,Export completed data annotations from Label Studio to PostgreSQL/MinIO,"project_id (query, integer, Required)
export_format (query, string, Optional)","200, 422"
7. System Monitoring & Health Domain,/api/v1/system/health,GET,System Health Check,"System Health Check endpoint for Container Orchestration (Docker/Kubernetes).
PING test for PostgreSQL, MinIO, and Redis. Returns 200 OK or 503 Service Unavailable.",None,200
7. System Monitoring & Health Domain,/api/v1/system/logs,GET,Get System Logs,Retrieve machine-readable Structured JSON Logs.,None,200
7. System Monitoring & Health Domain,/,GET,Root Health Status,,None,200
